example_id,customer_message,intent,intent_notes,expected_action,reference_response,difficulty,turn_count
1,[USER_ID] . They also failed to follow up with me when they said they would. Spent over an hour on the phone with the call center in Ghana?!?,general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
2,"@AmazonHelp I am fed up following that process. Again and again. Give me the no of ur executive who is claiming this delivery. Show me my sign?
@AmazonHelp [USER_ID] I haven’t got this package. Please stop sending this same mail to me. Just deliver my package. #STOP harassing #Amazon [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,5
3,"@AmazonHelp Vendido por Amazon.
Cuando compras un producto en [USER_ID]  y te envían un reacondicionado aunque habías pagado precio de nuevo. [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
4,"@AmazonHelp [USER_ID] Received the correct order today. Thanks!
@AmazonHelp Yes...was great! The agent was helpful and the replacement is scheduled for Monday. Thanks!
Was chatting to a customer care executive for a wrong order by [USER_ID]. I realized I was using [USER_ID]'s Virtual Chat -  the first product I started [USER_ID] work on. So proud...I stopped being agitated with the wrong order. [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,6
5,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.
[USER_ID], it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… [URL] [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
6,"@AmazonHelp ありがとうございます、安心しました。
ぎゃーん！
アマゾンの請求先が会社になってるってばよ！！
やべぇ！マジでやべぇ！
いつからだ？！
なんてこったい
休み明けに連絡しよう、そうしよう",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
7,"@AmazonHelp Yes today but the tracking doesn't show me where it is or guarantee it'll even be delivered. I'm already talking to your support team about it.
@AmazonHelp As it stands right now they have literally no idea where my package went despite me being able to confirm that your delivery folks showed up and said they couldn't find the package on their truck
@AmazonHelp It was supposed to be delivered yesterday. I spoke to a rep about this as they rescheduled without telling me and he assured me it would be delivered this AM but it was not and I have no updates on it (not scanned back into the warehouse yesterday)
@AmazonHelp So they're telling me repeatedly ""it's out for delivery"" but there's literally no way they can know that as the shipping update said that from yesterday, not for today. Today it's not even at ""out for delivery""
@AmazonHelp It shipped out on Thursday to be delivered yesterday, it's not out for delivery today, and I'm frustrated
@AmazonHelp Here's the tracking info that I've got from your end right now. Out for delivery yesterday morning but never showed up. The request wasn't submitted by me, it was submitted by a rep I spoke to last night [URL]
@AmazonHelp I'm being told ""since it's out for delivery let's just wait for the package"" which frankly i find insulting.
@AmazonHelp Either that or a $13 discount. This is ridiculous.
@AmazonHelp They keep telling me it's out for delivery but on my end it isn't. The rep I'm talking to has told me ""it's being delivered tomorrow now"" which, no, I wanted it Friday.

And the rep last night assured me it would be delivered today.
@AmazonHelp So the rep I'm speaking to is saying ""let's just wait"" and ""we'll give you $13 off"" and it's absurd to me because, like I stated, the drivers showed up to my residence, took every package off their truck, and could NOT find mine in them.
@AmazonHelp I'm pretty sure the package was lost to be honest here and I'm extremely frustrated
@AmazonHelp  [URL]
@AmazonHelp Done but I doubt anything will be done
So it turns out that amazon scanned my package out of their warehouse, showed up to my house to deliver it, but somehow the package wasn't on their truck",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,19
8,When Amazon sends you a picture of where they left your package but it's not your house... [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
9,"@AmazonHelp  [URL]
Thanks [USER_ID] for helping me waste my day waiting on a parcel which failed to come even though it should have been here by 8pm",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
10,"@AmazonHelp わわ、ご丁寧にありがとうございます！楽しませていただきます(*´꒳`*)
なんか気づいたらkindle unlimited登録してたけど月1000円で本いっぱい読めるの最高すぎでは？？",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,4
11,"@AmazonHelp Da ist nur noch das Fire Tablet gelistet. Der Dot nicht. [USER_ID] und [USER_ID] können Hue auch nicht mehr ansteuern. Generelles Problem anscheinend?
Dieses Gerät ist nicht aktiviert.... #echo #alexa #dot #hue @AmazonHelp",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
12,"@AmazonHelp 表示されました。
ありがとうございました。
@AmazonHelp chromeのバージョンは　バージョン: 62.0.3202.89（Official Build） （64 ビット）
edgeは　Microsoft Edge 40.[ZIP].674.0
です。",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,6
13,"@AmazonHelp yes. Twice
@AmazonHelp man on support was very helpful. Will see if fix holds
So [USER_ID] why do l have to unplug the fire stick every time I use [USER_ID] - shameful designed obsolescence?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,6
14,"@AmazonHelp 😄 Proximamente en mi canal de #youtube [URL]
[USER_ID]  prime gracias hasta ahora no me haz fallado 💆‍♀️ [URL]",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
15,"@AmazonHelp [URL]
Euh [USER_ID] c'est normal que mon #SuperMarioOdyssey soit pas encore expédié alors qu'il doit être livré demain !! Ça me fait peur un peu 😣",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
16,Hey [USER_ID] ur people spam call everyday without fail. This fellow tells me got details including addresses from [USER_ID] Why is this dirty work Amazon? [URL],general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,2
17,"[USER_ID] [USER_ID] Je suis grave intéressé, dispo dm ? (j'ai quelques questions)
Je vends mon Sony A7 première version acheté sur [USER_ID] en juillet dernier, quasi jamais utilisé 500€ #a7Mk1",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,3
18,"@AmazonHelp It was delivered by amazon itself. How do I report it on the app? I seem to get lost in an endless loop when I go via that link
@AmazonHelp hi amazon, apparently a package has been delivered when it hasn’t, how do I report it?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
19,"@AmazonHelp Nope.  Said package was ""Undeliverable"" which makes it unique among the thousand packages you have delivered to me.  No attempt to contact.
@AmazonHelp For an item that was never delivered?  Whats your guess?   Geez i hate bots....
@AmazonHelp There was no reason for the order to not be delivered.  Do not contact me further in this matter.
@AmazonHelp I have advised you not to contact me in this matter again.  If you continue to do so i will seek redress from Twitter TOS
[USER_ID] Farming out delivery to too many tiny carriers. Item came from 10 miles away, was to be delivered yesterday 8pm.  Response from Amazon none
[USER_ID] is slipping badly on delivery times and cost me revenue on a YouTube video. Too big to fail?  I won't trust them any longer.",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,medium,10
20,"@AmazonHelp Yes actually. I ordered something using amazon prime on Wednesday the 25th and it says it won’t be delivered until Monday the 30th
[USER_ID] why do I pay for amazon prime if it still takes more than 2 days for me to get my items?",general_inquiry,Auto-classified by keyword matching,auto_handle,Thank you for reaching out. Please let us know how we can help you today.,easy,4
