case_id,conversation_id,customer_problem,conversation,amazon_responses,resolution,intent,resolution_quality,turn_count
C003789,1131209,"@AmazonHelp Yep..this is all the info I have but the ""view options"" link doesn't bring anything up [URL]
[USER_ID] my subscribe and save parcel was due on 13th Oct but hasn't arrived. No website help available. Can you help?","AmazonHelp: [USER_ID] Oh wow. Was the parcel dispatched? What is the most recent tracking detail available? Check here: [URL] ^MJ
Customer: @AmazonHelp Yep..this is all the info I have but the ""view options"" link doesn't bring anything up [URL]
AmazonHelp: [USER_ID] Let's look into available options together, Sam! Please reach us by phone or chat here: [URL] ^AB
Customer: [USER_ID] my subscribe and save parcel was due on 13th Oct but hasn't arrived. No website help available. Can you help?","[USER_ID] Oh wow. Was the parcel dispatched? What is the most recent tracking detail available? Check here: [URL] ^MJ
[USER_ID] Let's look into available options together, Sam! Please reach us by phone or chat here: [URL] ^AB",Provided support link.,general_inquiry,medium,4
C022637,1732095,"@AmazonHelp I’ll try to, thanks. I’ll need to wait until I’m back from work.
@AmazonHelp Now updated to “Arriving tomorrow” instead of today [URL]
[USER_ID] err...what’s going on? Still waiting on this one. [URL]","AmazonHelp: [USER_ID] It isn't uncommon for packages to ship and arrive within the same day. Please keep us posted! ^MW
Customer: @AmazonHelp I’ll try to, thanks. I’ll need to wait until I’m back from work.
AmazonHelp: [USER_ID] Hi, if you've any issues please let us know. Our carriers deliver until 9pm today. ^TS
Customer: @AmazonHelp Now updated to “Arriving tomorrow” instead of today [URL]
AmazonHelp: [USER_ID] I'm sorry for the delay. Please let us know if your game doesn't arrive by the new delivery date given. ^VS
Customer: [USER_ID] err...what’s going on? Still waiting on this one. [URL]","[USER_ID] It isn't uncommon for packages to ship and arrive within the same day. Please keep us posted! ^MW
[USER_ID] Hi, if you've any issues please let us know. Our carriers deliver until 9pm today. ^TS
[USER_ID] I'm sorry for the delay. Please let us know if your game doesn't arrive by the new delivery date given. ^VS",Provided support guidance. Acknowledged the issue and apologized.,late_delivery,medium,6
C014982,1479142,"@AmazonHelp I did email 2-3 times but still no replies.
@AmazonHelp 15 days over for the transaction and still cashback not been added to the account.                 #amazonbeshram
@AmazonHelp I replied to that also like ‘why no reply?’ But than also no reply from your side.
@AmazonHelp Its been more than 10 days","AmazonHelp: [USER_ID] support team here: [URL] Do keep us posted. (2/2) ^KA
Customer: @AmazonHelp I did email 2-3 times but still no replies.
AmazonHelp: [USER_ID] For assistance with the cashback details, please reach our support team here: [URL] ^RS
Customer: @AmazonHelp 15 days over for the transaction and still cashback not been added to the account.                 #amazonbeshram
AmazonHelp: [USER_ID] Sorry for the disappointment. Our team usually replies within 24 hours. You may check the reply from our (1/2) ^KA
AmazonHelp: [USER_ID] Please reply to the email correspondence for a better insight in the issue. Appreciate your understanding. ^SI
Customer: @AmazonHelp I replied to that also like ‘why no reply?’ But than also no reply from your side.
Customer: @AmazonHelp Its been more than 10 days","[USER_ID] support team here: [URL] Do keep us posted. (2/2) ^KA
[USER_ID] For assistance with the cashback details, please reach our support team here: [URL] ^RS
[USER_ID] Sorry for the disappointment. Our team usually replies within 24 hours. You may check the reply from our (1/2) ^KA
[USER_ID] Please reply to the email correspondence for a better insight in the issue. Appreciate your understanding. ^SI",Provided support link. Acknowledged the issue and apologized. Provided support guidance.,payment_issue,strong,8
C009883,1324541,"[USER_ID] And now thanks to your incompetence I won't be able to #AssassinsCreedOriginsOR #SuperMarioOdyssey this weekend...at least not from you...
Welp [USER_ID] has just been a steady stream of disappointment these past 2 weeks. I feel like they're trying to lose gamer customers...","AmazonHelp: [USER_ID] Sorry to hear. Have you received an update on your orders? ^MC
Customer: [USER_ID] And now thanks to your incompetence I won't be able to #AssassinsCreedOriginsOR #SuperMarioOdyssey this weekend...at least not from you...
Customer: Welp [USER_ID] has just been a steady stream of disappointment these past 2 weeks. I feel like they're trying to lose gamer customers...",[USER_ID] Sorry to hear. Have you received an update on your orders? ^MC,Acknowledged the issue and apologized.,technical_issue,weak,3
C058952,319080,"@AmazonHelp my refund on
Order# [PHONE]-7969104 from [USER_ID]  not received over a month since pick up.","AmazonHelp: [USER_ID] Our Twitter page is public.​ 3/3^EM
Customer: @AmazonHelp my refund on
Order# [PHONE]-7969104 from [USER_ID]  not received over a month since pick up.
AmazonHelp: [USER_ID] I'm sorry about the delay in the refund. Kindly reach out to our support team here:[URL]  &amp; we'll 1/3^EM
AmazonHelp: [USER_ID] look into it right away. Please don't provide your order details here, as we consider it to be personal information.  2/3^EM","[USER_ID] Our Twitter page is public.​ 3/3^EM
[USER_ID] I'm sorry about the delay in the refund. Kindly reach out to our support team here:[URL]  &amp; we'll 1/3^EM
[USER_ID] look into it right away. Please don't provide your order details here, as we consider it to be personal information.  2/3^EM",Provided support guidance. Acknowledged the issue and apologized.,missing_package,strong,4
C014545,1464227,Hi @AmazonHelp! Would appreciate it if you guys would stop packaging things like this with a 20 pound bag of dog food! [URL],"AmazonHelp: [USER_ID] Oh wow! So sorry about that, Zach! You are more than welcome to submit feedback on the packaging here:[URL] ^SA
Customer: Hi @AmazonHelp! Would appreciate it if you guys would stop packaging things like this with a 20 pound bag of dog food! [URL]","[USER_ID] Oh wow! So sorry about that, Zach! You are more than welcome to submit feedback on the packaging here:[URL] ^SA",Acknowledged the issue and apologized.,technical_issue,weak,2
C067066,521729,"@AmazonHelp Were you able to read the email that I am no longer at the location it was shipped to? I travel! It’s what I do.
Can someone ask @AmazonHelp where my package is from 2 weeks ago! You know the same package they expect me to file a police report for lol [URL]","AmazonHelp: [USER_ID] I'm sorry for any trouble! Were you able to provide us the requested police report? ^EZ
Customer: @AmazonHelp Were you able to read the email that I am no longer at the location it was shipped to? I travel! It’s what I do.
Customer: Can someone ask @AmazonHelp where my package is from 2 weeks ago! You know the same package they expect me to file a police report for lol [URL]",[USER_ID] I'm sorry for any trouble! Were you able to provide us the requested police report? ^EZ,Acknowledged the issue and apologized.,general_inquiry,weak,3
C058119,2987901,"架空請求きたよww

しかとショートメールでAmazon相談係。 [URL]","AmazonHelp: [USER_ID] ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。
[URL] を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ [URL] SK
Customer: 架空請求きたよww

しかとショートメールでAmazon相談係。 [URL]","[USER_ID] ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。
[URL] を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ [URL] SK",Provided support guidance. Provided support link.,general_inquiry,weak,2
C072571,69783,"Hi [USER_ID], how do you manage your deliveries in countries like USA or Canada where things like #Aadhaar don't exist? Pls stop fooling people.","AmazonHelp: [USER_ID] It looks like you've had an unpleasant experience. Kindly elaborate on your concern so that we can look into this right away. ^BV
Customer: Hi [USER_ID], how do you manage your deliveries in countries like USA or Canada where things like #Aadhaar don't exist? Pls stop fooling people.",[USER_ID] It looks like you've had an unpleasant experience. Kindly elaborate on your concern so that we can look into this right away. ^BV,Provided support guidance.,general_inquiry,weak,2
C056163,2939262,"@AmazonHelp Ich hab mir was bestellt bei euch (was eine Überraschung) und die Bestellung ist schon angekommen... In der Bestellliste steht aber noch, dass es nicht angekommen ist und ich das Geld davon mir zurück-holen kann? Ist irgendwie nicht richtig oder?
@AmazonHelp Jop das stimmt, nur irritiert mich das, weil es zur Zeit schon das 3te mal ist :')
Hey @AmazonHelp ich habe hier mal n Problem :)","AmazonHelp: [USER_ID] Hey, hau raus :) ^AW
Customer: @AmazonHelp Ich hab mir was bestellt bei euch (was eine Überraschung) und die Bestellung ist schon angekommen... In der Bestellliste steht aber noch, dass es nicht angekommen ist und ich das Geld davon mir zurück-holen kann? Ist irgendwie nicht richtig oder?
AmazonHelp: [USER_ID] Die Anzeige aktualisiert sich nicht immer sofort - besteht aber ja auch kein Grund, eine derartige Option zu wählen, wenn du den Artikel bereits erhalten hast ;-) ^SM
Customer: @AmazonHelp Jop das stimmt, nur irritiert mich das, weil es zur Zeit schon das 3te mal ist :')
Customer: Hey @AmazonHelp ich habe hier mal n Problem :)","[USER_ID] Hey, hau raus :) ^AW
[USER_ID] Die Anzeige aktualisiert sich nicht immer sofort - besteht aber ja auch kein Grund, eine derartige Option zu wählen, wenn du den Artikel bereits erhalten hast ;-) ^SM",Provided support guidance.,general_inquiry,medium,5
