conversation_id,conversation,customer_problem,amazon_responses,turn_count,customer_turns,first_timestamp,last_timestamp
1131209,"AmazonHelp: [USER_ID] Oh wow. Was the parcel dispatched? What is the most recent tracking detail available? Check here: [URL] ^MJ
Customer: @AmazonHelp Yep..this is all the info I have but the ""view options"" link doesn't bring anything up [URL]
AmazonHelp: [USER_ID] Let's look into available options together, Sam! Please reach us by phone or chat here: [URL] ^AB
Customer: [USER_ID] my subscribe and save parcel was due on 13th Oct but hasn't arrived. No website help available. Can you help?","@AmazonHelp Yep..this is all the info I have but the ""view options"" link doesn't bring anything up [URL]
[USER_ID] my subscribe and save parcel was due on 13th Oct but hasn't arrived. No website help available. Can you help?","[USER_ID] Oh wow. Was the parcel dispatched? What is the most recent tracking detail available? Check here: [URL] ^MJ
[USER_ID] Let's look into available options together, Sam! Please reach us by phone or chat here: [URL] ^AB",4,2,,
1732095,"AmazonHelp: [USER_ID] It isn't uncommon for packages to ship and arrive within the same day. Please keep us posted! ^MW
Customer: @AmazonHelp I’ll try to, thanks. I’ll need to wait until I’m back from work.
AmazonHelp: [USER_ID] Hi, if you've any issues please let us know. Our carriers deliver until 9pm today. ^TS
Customer: @AmazonHelp Now updated to “Arriving tomorrow” instead of today [URL]
AmazonHelp: [USER_ID] I'm sorry for the delay. Please let us know if your game doesn't arrive by the new delivery date given. ^VS
Customer: [USER_ID] err...what’s going on? Still waiting on this one. [URL]","@AmazonHelp I’ll try to, thanks. I’ll need to wait until I’m back from work.
@AmazonHelp Now updated to “Arriving tomorrow” instead of today [URL]
[USER_ID] err...what’s going on? Still waiting on this one. [URL]","[USER_ID] It isn't uncommon for packages to ship and arrive within the same day. Please keep us posted! ^MW
[USER_ID] Hi, if you've any issues please let us know. Our carriers deliver until 9pm today. ^TS
[USER_ID] I'm sorry for the delay. Please let us know if your game doesn't arrive by the new delivery date given. ^VS",6,3,,
1479142,"AmazonHelp: [USER_ID] support team here: [URL] Do keep us posted. (2/2) ^KA
Customer: @AmazonHelp I did email 2-3 times but still no replies.
AmazonHelp: [USER_ID] For assistance with the cashback details, please reach our support team here: [URL] ^RS
Customer: @AmazonHelp 15 days over for the transaction and still cashback not been added to the account.                 #amazonbeshram
AmazonHelp: [USER_ID] Sorry for the disappointment. Our team usually replies within 24 hours. You may check the reply from our (1/2) ^KA
AmazonHelp: [USER_ID] Please reply to the email correspondence for a better insight in the issue. Appreciate your understanding. ^SI
Customer: @AmazonHelp I replied to that also like ‘why no reply?’ But than also no reply from your side.
Customer: @AmazonHelp Its been more than 10 days","@AmazonHelp I did email 2-3 times but still no replies.
@AmazonHelp 15 days over for the transaction and still cashback not been added to the account.                 #amazonbeshram
@AmazonHelp I replied to that also like ‘why no reply?’ But than also no reply from your side.
@AmazonHelp Its been more than 10 days","[USER_ID] support team here: [URL] Do keep us posted. (2/2) ^KA
[USER_ID] For assistance with the cashback details, please reach our support team here: [URL] ^RS
[USER_ID] Sorry for the disappointment. Our team usually replies within 24 hours. You may check the reply from our (1/2) ^KA
[USER_ID] Please reply to the email correspondence for a better insight in the issue. Appreciate your understanding. ^SI",8,4,,
1324541,"AmazonHelp: [USER_ID] Sorry to hear. Have you received an update on your orders? ^MC
Customer: [USER_ID] And now thanks to your incompetence I won't be able to #AssassinsCreedOriginsOR #SuperMarioOdyssey this weekend...at least not from you...
Customer: Welp [USER_ID] has just been a steady stream of disappointment these past 2 weeks. I feel like they're trying to lose gamer customers...","[USER_ID] And now thanks to your incompetence I won't be able to #AssassinsCreedOriginsOR #SuperMarioOdyssey this weekend...at least not from you...
Welp [USER_ID] has just been a steady stream of disappointment these past 2 weeks. I feel like they're trying to lose gamer customers...",[USER_ID] Sorry to hear. Have you received an update on your orders? ^MC,3,2,,
319080,"AmazonHelp: [USER_ID] Our Twitter page is public.​ 3/3^EM
Customer: @AmazonHelp my refund on
Order# [PHONE]-7969104 from [USER_ID]  not received over a month since pick up.
AmazonHelp: [USER_ID] I'm sorry about the delay in the refund. Kindly reach out to our support team here:[URL]  &amp; we'll 1/3^EM
AmazonHelp: [USER_ID] look into it right away. Please don't provide your order details here, as we consider it to be personal information.  2/3^EM","@AmazonHelp my refund on
Order# [PHONE]-7969104 from [USER_ID]  not received over a month since pick up.","[USER_ID] Our Twitter page is public.​ 3/3^EM
[USER_ID] I'm sorry about the delay in the refund. Kindly reach out to our support team here:[URL]  &amp; we'll 1/3^EM
[USER_ID] look into it right away. Please don't provide your order details here, as we consider it to be personal information.  2/3^EM",4,1,,
1464227,"AmazonHelp: [USER_ID] Oh wow! So sorry about that, Zach! You are more than welcome to submit feedback on the packaging here:[URL] ^SA
Customer: Hi @AmazonHelp! Would appreciate it if you guys would stop packaging things like this with a 20 pound bag of dog food! [URL]",Hi @AmazonHelp! Would appreciate it if you guys would stop packaging things like this with a 20 pound bag of dog food! [URL],"[USER_ID] Oh wow! So sorry about that, Zach! You are more than welcome to submit feedback on the packaging here:[URL] ^SA",2,1,,
521729,"AmazonHelp: [USER_ID] I'm sorry for any trouble! Were you able to provide us the requested police report? ^EZ
Customer: @AmazonHelp Were you able to read the email that I am no longer at the location it was shipped to? I travel! It’s what I do.
Customer: Can someone ask @AmazonHelp where my package is from 2 weeks ago! You know the same package they expect me to file a police report for lol [URL]","@AmazonHelp Were you able to read the email that I am no longer at the location it was shipped to? I travel! It’s what I do.
Can someone ask @AmazonHelp where my package is from 2 weeks ago! You know the same package they expect me to file a police report for lol [URL]",[USER_ID] I'm sorry for any trouble! Were you able to provide us the requested police report? ^EZ,3,2,,
2987901,"AmazonHelp: [USER_ID] ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。
[URL] を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ [URL] SK
Customer: 架空請求きたよww

しかとショートメールでAmazon相談係。 [URL]","架空請求きたよww

しかとショートメールでAmazon相談係。 [URL]","[USER_ID] ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。
[URL] を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ [URL] SK",2,1,,
69783,"AmazonHelp: [USER_ID] It looks like you've had an unpleasant experience. Kindly elaborate on your concern so that we can look into this right away. ^BV
Customer: Hi [USER_ID], how do you manage your deliveries in countries like USA or Canada where things like #Aadhaar don't exist? Pls stop fooling people.","Hi [USER_ID], how do you manage your deliveries in countries like USA or Canada where things like #Aadhaar don't exist? Pls stop fooling people.",[USER_ID] It looks like you've had an unpleasant experience. Kindly elaborate on your concern so that we can look into this right away. ^BV,2,1,,
2939262,"AmazonHelp: [USER_ID] Hey, hau raus :) ^AW
Customer: @AmazonHelp Ich hab mir was bestellt bei euch (was eine Überraschung) und die Bestellung ist schon angekommen... In der Bestellliste steht aber noch, dass es nicht angekommen ist und ich das Geld davon mir zurück-holen kann? Ist irgendwie nicht richtig oder?
AmazonHelp: [USER_ID] Die Anzeige aktualisiert sich nicht immer sofort - besteht aber ja auch kein Grund, eine derartige Option zu wählen, wenn du den Artikel bereits erhalten hast ;-) ^SM
Customer: @AmazonHelp Jop das stimmt, nur irritiert mich das, weil es zur Zeit schon das 3te mal ist :')
Customer: Hey @AmazonHelp ich habe hier mal n Problem :)","@AmazonHelp Ich hab mir was bestellt bei euch (was eine Überraschung) und die Bestellung ist schon angekommen... In der Bestellliste steht aber noch, dass es nicht angekommen ist und ich das Geld davon mir zurück-holen kann? Ist irgendwie nicht richtig oder?
@AmazonHelp Jop das stimmt, nur irritiert mich das, weil es zur Zeit schon das 3te mal ist :')
Hey @AmazonHelp ich habe hier mal n Problem :)","[USER_ID] Hey, hau raus :) ^AW
[USER_ID] Die Anzeige aktualisiert sich nicht immer sofort - besteht aber ja auch kein Grund, eine derartige Option zu wählen, wenn du den Artikel bereits erhalten hast ;-) ^SM",5,3,,
1771695,"AmazonHelp: [USER_ID] 大変お手数をおかけしました。どうぞよろしくお願いいたします。 EK
Customer: @AmazonHelp ご返信ありがとうございます。
先程、返品処理致しました。
AmazonHelp: [USER_ID] 異なる商品をお届けしご迷惑をおかけしております。返品を承ります。恐れ入りますが、こちらのURLよりカスタマーサービスまでお問い合わせ下さい。 [URL] EK
Customer: 今日、Amazonから届いた荷物が全く違う商品だった…
バック頼んだのに、犬用の何かのカー用品が届いた…
いや飼ってねーしw","@AmazonHelp ご返信ありがとうございます。
先程、返品処理致しました。
今日、Amazonから届いた荷物が全く違う商品だった…
バック頼んだのに、犬用の何かのカー用品が届いた…
いや飼ってねーしw","[USER_ID] 大変お手数をおかけしました。どうぞよろしくお願いいたします。 EK
[USER_ID] 異なる商品をお届けしご迷惑をおかけしております。返品を承ります。恐れ入りますが、こちらのURLよりカスタマーサービスまでお問い合わせ下さい。 [URL] EK",4,2,,
383311,"AmazonHelp: [USER_ID] Ti sei creato una bella collezione! 😍 ^CS [URL]
Customer: Oggi sono particolarmente felice. [USER_ID] regala gioie di lunedì mattina. [URL]",Oggi sono particolarmente felice. [USER_ID] regala gioie di lunedì mattina. [URL],[USER_ID] Ti sei creato una bella collezione! 😍 ^CS [URL],2,1,,
